Nom du Projet;Entreprise;Num‚ro Offre;Montant Offre;Capital Re‡u;Capital Restant d– sain;Capital Retard - 6 mois;Capital Retard + 6 mois;Statut Projet
Boch22 #4 - Chapelle Blanche;Boch 22;679076;100;0;100;0;0;En cours -Sain
DMF INVEST #4 ;DMF Invest;627426;48;0;48;0;0;En cours -Sain
Riverparc Patrimoine;Riverparc Patrimoine;589573;224;224;0;0;0;Termin‚ (Rembours‚)
CLS IMMO-PRESTIGE #3;C.L.S Immo-Prestige;562536;38;38;0;0;0;Termin‚ (Rembours‚)
SAS TTM INVEST;TTM INVEST;538780;56;56;0;0;0;Termin‚ (Rembours‚)
SASU SCALP #2;SCALP;535617;158;0;158;0;0;En cours -Sain
ADV Invest - Divonne les Bains;ADV Invest;491637;61;61;0;0;0;Termin‚ (Rembours‚)
AFI4;AFI4;411299;30;30;0;0;0;Termin‚ (Rembours‚)
Financement immobilier … Vallauris ;DMF Invest;356900;200;200;0;0;0;Termin‚ (Rembours‚)
Groupe Best ;groupe best;354088;100;100;0;0;0;Termin‚ (Rembours‚)
;;TOTAUX : ;1015 ?;709 ?;306 ?;0 ?;0 ?;
