êchÇance;Date d'ÇchÇance;Montant Ö payer;Part du capital;Part des intÇràts;Part du bonus;Capital restant dñ (apräs paiement);IntÇràts remboursÇs;Bonus versÇ;CSG/CRDS;IR
1;16/09/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?
2;16/10/2023;0,00 ?;0,00 ?;0,00 ?;0,00 ?;500,00 ?;0,00 ?;0,00 ?;0,00 ?;0,00 ?
3;16/11/2023;163,83 ?;148,58 ?;13,75 ?;1,50 ?;351,42 ?;13,75 ?;1,50 ?;2,62 ?;0,00 ?
4;16/12/2023;223,90 ?;220,33 ?;3,22 ?;0,35 ?;131,09 ?;16,97 ?;1,85 ?;0,61 ?;0,00 ?
5;16/01/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
6;16/02/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
7;16/03/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
8;16/04/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
9;16/05/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
10;16/06/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
11;16/07/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
12;16/08/2024;0,00 ?;0,00 ?;0,00 ?;0,00 ?;131,09 ?;16,97 ?;1,85 ?;0,00 ?;0,00 ?
13;16/09/2024;143,07 ?;131,09 ?;10,81 ?;1,17 ?;0,00 ?;27,78 ?;3,02 ?;2,06 ?;0,00 ?
