Date de collecte (JJ/MM/AAAA);Nom du projet;Statut;Montant investi (?);Taux annuel total (%);Date de signature (JJ/MM/AAAA);Date de remboursement minimale (JJ/MM/AAAA);Date de remboursement maximale (JJ/MM/AAAA);Remboursement total brut … ce jour (?);Dont capital (?);Dont int‚rˆts (?)
25/07/2022;L'Isoir;Finalis‚e;500;12;25/07/2022;29/01/2023;29/01/2026;0;0;0
08/08/2022;Le Quattuor;Finalis‚e;500;14,44444444;08/08/2022;15/02/2023;15/05/2026;212,6;115,78;96,82
29/08/2022;Le Canard;Finalis‚e;500;13,64285714;29/08/2022;05/05/2023;05/03/2026;0;0;0
08/11/2022;L'Envol;Finalis‚e;500;13,14285714;08/11/2022;14/03/2023;14/05/2026;198,41;125,08;73,33
10/02/2023;La Plumeria ;Finalis‚e;500;12,66666667;10/02/2023;15/08/2023;15/02/2026;0;0;0
26/04/2023;Le H‚risson;Rembours‚e;900;12,1;26/04/2023;29/07/2023;29/07/2024;973;900;73
28/04/2023;Le Windsor;Rembours‚e;500;13,1;28/04/2023;11/06/2023;11/01/2024;506,43;500;6,43
24/05/2023;L'Ange;Finalis‚e;500;13,63846154;24/05/2023;30/11/2023;30/07/2025;549,5;453,5;96
20/06/2023;Le Raisin;Rembours‚e;500;12,1;20/06/2023;30/09/2023;30/09/2024;515,13;500;15,13
10/07/2023;Le Gaillard ;Finalis‚e;500;14,84705882;07/07/2023;15/08/2023;15/05/2026;301,04;290,88;10,16
11/08/2023;Le Pommier ;Rembours‚e;500;12,2;11/08/2023;16/12/2023;16/11/2024;530,8;500;30,8
25/09/2023;La Voile ;Rembours‚e;512;12,2;25/09/2023;29/10/2023;29/01/2025;529,8;512;17,8
25/10/2023;L'Iliade;Rembours‚e;500;12,2;25/10/2023;02/02/2024;02/11/2024;540,66;500;40,66
13/11/2023;La Mangue ;Finalis‚e;500;13,2;13/11/2023;20/05/2024;20/07/2025;0;0;0
08/12/2023;L'Om‚ga ;Finalis‚e;500;14,2;04/12/2023;15/06/2024;15/06/2026;376,88;315,88;61
15/12/2023;Le Magenta;Finalis‚e;500;13,56363636;15/12/2023;22/03/2024;22/10/2025;462,07;420,15;41,92
10/01/2024;L'Europe;Finalis‚e;500;12,7;10/01/2024;24/01/2026;24/01/2026;252,33;166,9;85,43
23/02/2024;L'Olive ;Finalis‚e;3;14,45;24/02/2024;05/09/2024;05/03/2026;0;0;0
11/03/2024;Le Cayenne;Rembours‚e;500;12;11/03/2024;19/06/2024;19/07/2025;515,01;500;15,01
22/03/2024;L'Aiguille;Finalis‚e;500;12;22/03/2024;05/10/2024;05/10/2025;0;0;0
30/04/2024;Le Coach;Finalis‚e;500;12;26/04/2024;06/05/2025;06/05/2027;70;0;70
01/05/2024;Le Vitton;Rembours‚e;500;12;30/04/2024;13/09/2024;13/07/2025;560,01;500;60,01
05/06/2024;Le Zola;Rembours‚e;500;11;05/06/2024;17/12/2024;17/12/2025;529,66;500;29,66
05/06/2024;Les Nuages ;Finalis‚e;500;12;05/06/2024;18/09/2024;18/10/2025;82,1;67,09;15,01
19/07/2024;Le Cuivre;Finalis‚e;500;14,72727273;19/07/2024;02/09/2024;02/06/2026;0;0;0
01/08/2024;Le CŠdre;Finalis‚e;505;12;31/07/2024;15/04/2025;15/08/2026;0;0;0
30/08/2024;Le Leclerc;Finalis‚e;500;12;30/08/2024;10/03/2025;10/03/2026;0;0;0
11/10/2024;Le Souffl‚;Finalis‚e;500;11;11/10/2024;28/12/2024;28/10/2025;0;0;0
08/11/2024;La Berge;Finalis‚e;500;11,5;31/10/2024;15/02/2025;15/11/2026;0;0;0
26/12/2024;Le Cygne;Finalis‚e;500;12;20/12/2024;26/03/2025;26/06/2026;0;0;0
27/12/2024;Le Corsaire;Finalis‚e;500;12;27/12/2024;17/05/2025;17/09/2026;0;0;0
21/01/2025;L?Olympique;Finalis‚e;500;12;21/01/2025;07/08/2025;07/08/2026;25;0;25
14/02/2025;Le Arnold;Finalis‚e;500;12;14/02/2025;28/08/2025;28/02/2027;0;0;0
03/03/2025;Le Virtuose ;Finalis‚e;500;11,5;03/03/2025;14/01/2026;14/09/2027;0;0;0
17/04/2025;La Papalia;Finalis‚e;500;12;17/04/2025;30/12/2025;30/04/2027;0;0;0
22/04/2025;L?Humoriste;Finalis‚e;500;11,5;29/04/2025;02/11/2025;02/03/2027;0;0;0
26/06/2025;Le Brillant;Finalis‚e;500;12;26/06/2025;03/01/2026;03/01/2027;0;0;0
